Entry	Entry Name	Protein names	Organism	Organism (ID)
A0A0J7BA64	A0A0J7BA64_COCIT	Cutinase transcription factor 1 alpha	Coccidioides immitis RMSCC 2394	404692
A0A0J7KX78	A0A0J7KX78_9FLAO	PET hydrolase/cutinase-like domain-containing protein	Chryseobacterium angstadtii	558151
A0A0J7Z4F2	A0A0J7Z4F2_STRVR	Cutinase	Streptomyces viridochromogenes	1938
A0A0J8QNH6	A0A0J8QNH6_COCIT	Cutinase transcription factor 1 alpha	Coccidioides immitis RMSCC 3703	454286
A0A0J8QRR3	A0A0J8QRR3_COCIT	Cutinase transcription factor 1 alpha	Coccidioides immitis RMSCC 3703	454286
A0A0J8RA48	A0A0J8RA48_COCIT	Cutinase transcription factor 1 alpha	Coccidioides immitis RMSCC 3703	454286
A0A0J8RQY5	A0A0J8RQY5_COCIT	Cutinase transcription factor 1 alpha	Coccidioides immitis H538.4	396776
A0A0J8S1U9	A0A0J8S1U9_COCIT	Cutinase transcription factor 1 alpha	Coccidioides immitis H538.4	396776
A0A0J8S585	A0A0J8S585_COCIT	Cutinase transcription factor 1 alpha	Coccidioides immitis H538.4	396776
A0A0J8TYC5	A0A0J8TYC5_9MYCO	Cutinase	Mycolicibacterium conceptionense	451644
A0A0J8TZI1	A0A0J8TZI1_9MYCO	Cutinase	Mycolicibacterium conceptionense	451644
A0A0J8U5S7	A0A0J8U5S7_9MYCO	Cutinase	Mycolicibacterium conceptionense	451644
A0A0J8UFQ1	A0A0J8UFQ1_9MYCO	Cutinase	Mycolicibacterium conceptionense	451644
A0A0J8WNH7	A0A0J8WNH7_9MYCO	Cutinase	Mycolicibacterium conceptionense	451644
A0A0J9CDJ4	A0A0J9CDJ4_9FIRM	PET hydrolase/cutinase-like domain-containing protein	[Clostridium] citroniae WAL-19142	742734
A0A0J9U8G0	A0A0J9U8G0_FUSO4	Cutinase palindrome-binding protein	Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato)	426428
A0A0J9U922	A0A0J9U922_FUSO4	Cutinase palindrome-binding protein	Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato)	426428
A0A0J9UBJ4	A0A0J9UBJ4_FUSO4	Cutinase transcription factor 1 beta	Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato)	426428
A0A0J9UMQ3	A0A0J9UMQ3_FUSO4	Cutinase transcription factor 1 alpha	Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato)	426428
A0A0J9VZS3	A0A0J9VZS3_FUSO4	Cutinase 1	Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato)	426428
A0A0J9WC13	A0A0J9WC13_FUSO4	Cutinase transcription factor 1 beta	Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato)	426428
A0A0J9WJR4	A0A0J9WJR4_FUSO4	Cutinase transcription factor 1 alpha	Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato)	426428
A0A0K0MX27	A0A0K0MX27_9CAUD	Putative cutinase	Gordonia phage GTE6	1647474
A0A0K0X1A9	A0A0K0X1A9_MYCGD	Cutinase	Mycolicibacterium goodii (Mycobacterium goodii)	134601
A0A0K0XFJ1	A0A0K0XFJ1_MYCGD	Cutinase	Mycolicibacterium goodii (Mycobacterium goodii)	134601
A0A0K3CBS4	A0A0K3CBS4_RHOTO	BY PROTMAP: gi|342321077|gb|EGU13015.1| Cutinase [Rhodotorula glutinis ATCC 204091]	Rhodotorula toruloides (Yeast) (Rhodosporidium toruloides)	5286
A0A0K6FLS8	A0A0K6FLS8_9AGAM	Cutinase Cut4	Rhizoctonia solani	456999
A0A0K6FLV6	A0A0K6FLV6_9AGAM	Cutinase	Rhizoctonia solani	456999
A0A0K6FLZ8	A0A0K6FLZ8_9AGAM	Putative cutinase Mb2006c	Rhizoctonia solani	456999
A0A0K6FX20	A0A0K6FX20_9AGAM	Cutinase	Rhizoctonia solani	456999
A0A0K6FZW1	A0A0K6FZW1_9AGAM	Cutinase	Rhizoctonia solani	456999
A0A0K6G3Z0	A0A0K6G3Z0_9AGAM	Putative cutinase Mb2006c	Rhizoctonia solani	456999
A0A0K6GBL2	A0A0K6GBL2_9AGAM	Cutinase transcription factor 1 alpha [Nectria haematococca mpVI]	Rhizoctonia solani	456999
A0A0K6GEL6	A0A0K6GEL6_9AGAM	Cutinase	Rhizoctonia solani	456999
A0A0K6GEN2	A0A0K6GEN2_9AGAM	Cutinase	Rhizoctonia solani	456999
A0A0K6GFJ9	A0A0K6GFJ9_9AGAM	Cutinase	Rhizoctonia solani	456999
A0A0K6GFK8	A0A0K6GFK8_9AGAM	Putative cutinase Mb2006c	Rhizoctonia solani	456999
A0A0K6GFY7	A0A0K6GFY7_9AGAM	Putative cutinase Mb2006c	Rhizoctonia solani	456999
A0A0K6GGX8	A0A0K6GGX8_9AGAM	Putative cutinase Mb2006c	Rhizoctonia solani	456999
A0A0K6ILB3	A0A0K6ILB3_9GAMM	Cutinase	Marinomonas fungiae	1137284
A0A0K8PTC7	A0A0K8PTC7_STRAJ	Cutinase	Streptomyces azureus	146537
A0A0K9XIF3	A0A0K9XIF3_9ACTN	PET hydrolase/cutinase-like domain-containing protein	Streptomyces caatingaensis	1678637
A0A0L0HB83	A0A0L0HB83_SPIPD	Cutinase	Spizellomyces punctatus (strain DAOM BR117)	645134
A0A0L0MZ92	A0A0L0MZ92_TOLOC	Cutinase transcription factor 1 alpha	Tolypocladium ophioglossoides (strain CBS 100239) (Snaketongue truffleclub) (Elaphocordyceps ophioglossoides)	1163406
A0A0L0MZA2	A0A0L0MZA2_TOLOC	Cutinase transcription factor 1 alpha	Tolypocladium ophioglossoides (strain CBS 100239) (Snaketongue truffleclub) (Elaphocordyceps ophioglossoides)	1163406
A0A0L0NAA8	A0A0L0NAA8_TOLOC	Cutinase transcription factor 1 alpha	Tolypocladium ophioglossoides (strain CBS 100239) (Snaketongue truffleclub) (Elaphocordyceps ophioglossoides)	1163406
A0A0L0NAJ5	A0A0L0NAJ5_TOLOC	Cutinase transcription factor 1 beta	Tolypocladium ophioglossoides (strain CBS 100239) (Snaketongue truffleclub) (Elaphocordyceps ophioglossoides)	1163406
A0A0L0NBS5	A0A0L0NBS5_TOLOC	Cutinase palindrome-binding protein	Tolypocladium ophioglossoides (strain CBS 100239) (Snaketongue truffleclub) (Elaphocordyceps ophioglossoides)	1163406
A0A0L0NIK3	A0A0L0NIK3_TOLOC	Cutinase transcription factor 1 beta	Tolypocladium ophioglossoides (strain CBS 100239) (Snaketongue truffleclub) (Elaphocordyceps ophioglossoides)	1163406
A0A0L0VHR2	A0A0L0VHR2_9BASI	Cutinase	Puccinia striiformis f. sp. tritici PST-78	1165861
A0A0L0VHU3	A0A0L0VHU3_9BASI	Cutinase	Puccinia striiformis f. sp. tritici PST-78	1165861
A0A0L0VHY4	A0A0L0VHY4_9BASI	Cutinase	Puccinia striiformis f. sp. tritici PST-78	1165861
A0A0L0VIL4	A0A0L0VIL4_9BASI	Cutinase	Puccinia striiformis f. sp. tritici PST-78	1165861
A0A0L0VJN7	A0A0L0VJN7_9BASI	Cutinase	Puccinia striiformis f. sp. tritici PST-78	1165861
A0A0L0VJP3	A0A0L0VJP3_9BASI	Cutinase	Puccinia striiformis f. sp. tritici PST-78	1165861
