Entry	Entry Name	Protein names	Organism	Organism (ID)
A0A3N4UZX2	A0A3N4UZX2_9BURK	Alkane 1-monooxygenase	Tibeticola sediminis	1917811
A0A3N5Y2U1	A0A3N5Y2U1_9ALTE	Alkane 1-monooxygenase	Alteromonas sediminis	2259342
A0A3N8RKY4	A0A3N8RKY4_9BURK	Alkane 1-monooxygenase	Burkholderia contaminans	488447
A0A3N8RP33	A0A3N8RP33_9BURK	Alkane 1-monooxygenase	Burkholderia contaminans	488447
A0A3P3DJX1	A0A3P3DJX1_9RHOB	Alkane 1-monooxygenase	Falsigemmobacter faecalis	2488730
A0A3P3DWI7	A0A3P3DWI7_9RHOB	Alkane 1-monooxygenase	Falsigemmobacter faecalis	2488730
A0A3P3VNZ8	A0A3P3VNZ8_9GAMM	Alkane 1-monooxygenase	Aestuariirhabdus litorea	2528527
A0A3P3ZP09	A0A3P3ZP09_9ZZZZ	Alkane 1-monooxygenase (EC 1.14.15.3)	mine drainage metagenome	410659
A0A3P5WFI8	A0A3P5WFI8_9RHOB	Alkane 1-monooxygenase 2 (EC 1.14.15.3)	Pseudogemmobacter humi	2483812
A0A3P5XVC5	A0A3P5XVC5_9RHOB	Alkane 1-monooxygenase 2 (EC 1.14.15.3)	Pseudogemmobacter humi	2483812
A0A3P8MC06	A0A3P8MC06_TSUPA	Alkane 1-monooxygenase 1 (EC 1.14.15.3)	Tsukamurella paurometabola (Corynebacterium paurometabolum)	2061
A0A3Q8LZ37	A0A3Q8LZ37_RHOER	Alkane 1-monooxygenase	Rhodococcus erythropolis (Arthrobacter picolinophilus)	1833
A0A3Q8MC64	A0A3Q8MC64_RHOOP	Haloalkane dehalogenase	Rhodococcus opacus (Nocardia opaca)	37919
A0A3Q8XDQ9	A0A3Q8XDQ9_ACIJO	Alkane 1-monooxygenase	Acinetobacter johnsonii	40214
A0A3Q9F6T6	A0A3Q9F6T6_9BURK	Alkane 1-monooxygenase	Burkholderia cenocepacia	95486
A0A3Q9NPJ3	A0A3Q9NPJ3_BREAU	Alkane 1-monooxygenase	Brevibacterium aurantiacum	273384
A0A3Q9QYA5	A0A3Q9QYA5_9BACI	Alkane 1-monooxygenase	Neobacillus mesonae	1193713
A0A3Q9UUP3	A0A3Q9UUP3_9MICO	Alkane 1-monooxygenase	Rathayibacter festucae DSM 15932	1328866
A0A3R7HJ40	A0A3R7HJ40_9BURK	Alkane 1-monooxygenase	Paraburkholderia fungorum	134537
A0A3R7LPZ5	A0A3R7LPZ5_9RHOB	Alkane 1-monooxygenase	Paracoccus methylarcula	72022
A0A3R8QD67	A0A3R8QD67_9CORY	Alkane 1-monooxygenase	Corynebacterium bovis	36808
A0A3R8RRN1	A0A3R8RRN1_9MICO	Alkane 1-monooxygenase	Brachybacterium paraconglomeratum	173362
A0A3R8SES8	A0A3R8SES8_9MICO	Alkane 1-monooxygenase	Brachybacterium paraconglomeratum	173362
A0A3R9AL34	A0A3R9AL34_ENTCL	Alkane 1-monooxygenase	Enterobacter cloacae	550
A0A3R9DBN0	A0A3R9DBN0_9BURK	Alkane 1-monooxygenase	Burkholderia cenocepacia	95486
A0A3R9E2Z1	A0A3R9E2Z1_ACIHA	Alkane 1-monooxygenase	Acinetobacter haemolyticus	29430
A0A3R9F0J7	A0A3R9F0J7_9PSEU	Alkane 1-monooxygenase	Amycolatopsis eburnea	2267691
A0A3R9G887	A0A3R9G887_ACIJO	Alkane 1-monooxygenase	Acinetobacter johnsonii	40214
A0A3R9MIV7	A0A3R9MIV7_9BACT	Alkane 1-monooxygenase	Hymenobacter metallilatus	2493666
A0A3R9QF10	A0A3R9QF10_9GAMM	Alkane 1-monooxygenase	Acinetobacter lactucae	1785128
