Entry	Entry Name	Protein names	Organism	Organism (ID)
A0A6J5FRN3	A0A6J5FRN3_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia caffeinitolerans	1723730
A0A6J5FSP4	A0A6J5FSP4_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase	Paraburkholderia fynbosensis	1200993
A0A6J5FX66	A0A6J5FX66_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia fynbosensis	1200993
A0A6J5GJP1	A0A6J5GJP1_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia fynbosensis	1200993
A0A6J5GMP7	A0A6J5GMP7_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia caffeinitolerans	1723730
A0A6J5K194	A0A6J5K194_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia phenoliruptrix	252970
A0A6J5K7F0	A0A6J5K7F0_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia phenoliruptrix	252970
A0A6J5KA99	A0A6J5KA99_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia phenoliruptrix	252970
A0A6J5KBT9	A0A6J5KBT9_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia phenoliruptrix	252970
A0A6S7AZ84	A0A6S7AZ84_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia ultramafica	1544867
A0A6S7B2U3	A0A6S7B2U3_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Pararobbsia alpina	621374
A0A6S7BQ61	A0A6S7BQ61_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia ultramafica	1544867
A0A6V7C0V6	A0A6V7C0V6_9XANT	Mono(2-hydroxyethyl) terephthalate hydrolase	Xanthomonas hortorum pv. pelargonii	453602
A0A7K0BXE1	A0A7K0BXE1_9ACTN	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Actinomadura macrotermitis	2585200
A0A7K0C3G9	A0A7K0C3G9_9ACTN	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Actinomadura macrotermitis	2585200
A0A7V8FLJ6	A0A7V8FLJ6_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase	Paracidovorax wautersii	1177982
A0A7V8FMZ1	A0A7V8FMZ1_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase	Paracidovorax wautersii	1177982
A0A7V8FRR3	A0A7V8FRR3_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase	Paracidovorax wautersii	1177982
A0A7V8FSD0	A0A7V8FSD0_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase	Paracidovorax wautersii	1177982
A0A833PRI7	A0A833PRI7_BURL3	Mono(2-hydroxyethyl) terephthalate hydrolase	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	482957
A0A833V490	A0A833V490_BURL3	Mono(2-hydroxyethyl) terephthalate hydrolase	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	482957
A0A8B6IV45	A0A8B6IV45_9ENTR	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Klebsiella africana	2489010
A0A8D6Y728	A0A8D6Y728_9XANT	Mono(2-hydroxyethyl) terephthalate hydrolase	Xanthomonas arboricola pv. corylina	487821
A0A916IWZ2	A0A916IWZ2_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Cupriavidus yeoncheonensis	1462994
A0A916IYK8	A0A916IYK8_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Cupriavidus yeoncheonensis	1462994
A0A916J7N6	A0A916J7N6_9BACT	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Dyadobacter helix	2822344
A0A916JIF2	A0A916JIF2_9BACT	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Dyadobacter helix	2822344
A0A9N8MRT6	A0A9N8MRT6_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia domus	2793075
A0A9N8MST5	A0A9N8MST5_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia domus	2793075
A0A9N8RXC7	A0A9N8RXC7_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia saeva	2777537
A0A9P0UZZ8	A0A9P0UZZ8_KLEVA	Mono(2-hydroxyethyl) terephthalate hydrolase	Klebsiella variicola	244366
A0AA37HC32	A0AA37HC32_9HYPH	Mono(2-hydroxyethyl) terephthalate hydrolase	Methylobacterium frigidaeris	2038277
