genus	module_id	degree	total_enzyme_hits
Hartmannibacter	0	182.17335641135028	1
Hazenella	1	78.23613816727918	1
Helianthus	0	182.17335641135028	1
Henriciella	0	182.17335641135028	2
Heterostelium	1	79.13096896884744	12
Hydrocarboniclastica	0	182.17335641135028	1
Hydrogenophaga	0	182.17335641135028	2
Hymenobacter	0	182.17335641135028	1
Hyphomonas	0	182.17335641135028	3
Ideonella	1	75.5837913713158	3
Intrasporangium	0	182.17335641135028	2
Kibdelosporangium	0	182.17335641135028	2
Kitasatospora	1	178.2392129354672	9
Klebsiella	0	182.17335641135028	1
Kocuria	0	182.17335641135028	3
Kushneria	2	12.261203825414029	1
Labrys	0	182.17335641135028	5
Lacibacter	0	182.17335641135028	2
Legionella	0	182.17335641135028	1
Lentzea	0	182.17335641135028	3
Leucobacter	0	182.17335641135028	1
Limnobacter	0	182.17335641135028	3
Lunatimonas	1	78.23613816727918	2
Luteimonas	0	182.17335641135028	3
Macrophomina	1	78.23613816727918	11
Maliponia	0	182.17335641135028	1
Mangrovivirga	0	182.17335641135028	1
Marinobacter	0	182.17335641135028	1
Martelella	0	182.17335641135028	2
Massilia	0	182.17335641135028	23
Mesorhizobium	0	182.17335641135028	5
Metapseudomonas	0	182.17335641135028	1
Metarhizium	1	78.23613816727918	1
Methylobacterium	2	12.15226946491029	18
Methyloceanibacter	0	182.17335641135028	2
Methylocella	0	182.17335641135028	1
Microbacterium	1	186.7130926380383	4
Micromonospora	1	186.7130926380383	2
Microterricola	0	182.17335641135028	1
Microvirga	1	186.7130926380383	4
Modestobacter	0	182.17335641135028	3
Moelleriella	1	78.23613816727918	1
Moniliophthora	1	78.23613816727918	2
Mycobacterium	0	182.3010265748783	55
Mycolicibacterium	1	74.47262889000459	10
Natrinema	0	182.17335641135028	2
Neobacillus	0	182.17335641135028	2
Neobodo	1	78.23613816727918	1
Neorhizobium	0	182.17335641135028	1
Neoroseomonas	0	182.17335641135028	2
Niveibacterium	0	182.17335641135028	1
Nocardia	0	182.17335641135028	10
Nocardioides	1	78.48465868313068	19
Nocardiopsis	0	182.17335641135028	1
Novosphingobium	0	182.17335641135028	3
OM182	1	78.23613816727918	1
Oceanococcus	0	182.17335641135028	1
Ochrobactrum	1	78.23613816727918	2
Oleomonas	0	182.17335641135028	1
Ophiocordyceps	1	78.23613816727918	1
Paenibacillus	0	181.3066410876427	12
Panacagrimonas	0	182.17335641135028	15
Paraburkholderia	2	12.301386809848756	11
Paracidovorax	2	12.261203825414029	2
Paracoccus	0	182.17335641135028	1
Paracraurococcus	0	182.17335641135028	2
Parafrankia	0	182.17335641135028	1
Paraglaciecola	1	78.23613816727918	1
Parapedobacter	1	78.23613816727918	2
Paraperlucidibaca	0	182.17335641135028	47
Parvicella	1	78.23613816727918	9
Pedobacter	0	182.17335641135028	1
Pelagomonas	1	78.23613816727918	1
Pelomonas	0	182.17335641135028	1
Penicillium	1	78.23613816727918	18
Peribacillus	0	182.17335641135028	2
Phaeoacremonium	1	78.23613816727918	2
Phenylobacterium	0	182.17335641135028	1
Phnomibacter	0	182.17335641135028	2
Phyllobacterium	0	182.17335641135028	1
Phytohabitans	0	182.17335641135028	7
Piscinibacter	3	2.576712329441156	3
Planctomyces	0	182.17335641135028	2
Planobispora	0	182.17335641135028	1
Polaromonas	0	182.17335641135028	5
Prauserella	0	182.17335641135028	10
Pseudarthrobacter	0	182.17335641135028	4
Pseudoduganella	1	78.23613816727918	2
Pseudofrankia	0	182.41293404650816	11
Pseudogemmobacter	0	182.17335641135028	2
Pseudomonas	1	70.37576503034668	34
Pseudopithomyces	1	78.23613816727918	1
Pseudorhodoferax	0	182.17335641135028	12
Pseudoroseicyclus	0	182.17335641135028	1
Pueribacillus	0	182.17335641135028	1
Pullulanibacillus	0	182.17335641135028	2
Pyrenophora	1	78.23613816727918	56
Rahnella	0	182.17335641135028	2
Raineyella	1	78.23613816727918	13
Ralstonia	1	65.11683824196864	9
Ramlibacter	0	182.17335641135028	1
Raoultella	0	182.17335641135028	1
Rariglobus	1	78.23613816727918	1
Rathayibacter	0	182.17335641135028	2
Reyranella	0	182.17335641135028	9
Rhabdobacter	1	78.23613816727918	1
Rhizobium	0	182.25692133625682	10
Rhizophlyctis	1	78.23613816727918	1
Rhodanobacter	0	182.17335641135028	2
Rhodococcus	0	160.44413912802443	39
Rhodoferax	0	182.17335641135028	3
Rhodopila	0	182.17335641135028	3
Rhynchosporium	1	78.23613816727918	1
Rivibacter	0	182.17335641135028	1
Roseicella	0	182.17335641135028	1
Roseitalea	0	182.17335641135028	1
Roseivirga	0	182.17335641135028	1
Roseobacter	1	78.23613816727918	3
Roseomonas	0	182.17335641135028	3
Rothia	1	78.23613816727918	1
SAR86	1	78.23613816727918	4
Saccharomonospora	0	182.17335641135028	1
Salinarimonas	0	182.17335641135028	20
Saliniramus	0	182.17335641135028	2
Salinomyces	1	78.23613816727918	1
Sediminihaliea	1	78.23613816727918	1
Serinicoccus	0	182.17335641135028	2
Serratia	0	182.17335641135028	3
Silvimonas	0	182.17335641135028	1
Sinimarinibacterium	0	182.17335641135028	1
Sinorhizobium	0	182.17335641135028	1
Solimonas	0	182.17335641135028	11
Sorangium	0	182.17335641135028	2
Spectribacter	0	182.17335641135028	1
Sphaerisporangium	3	2.782439598693497	1
Sphingobium	0	182.17335641135028	7
Sphingomonas	0	182.88108714408548	25
Sphingopyxis	0	182.17335641135028	56
Spirosoma	1	78.23613816727918	1
Sporothrix	1	78.23613816727918	1
Stagnihabitans	0	182.17335641135028	2
Stagnimonas	0	182.17335641135028	3
Stenotrophomonas	0	182.17335641135028	2
Steroidobacter	1	78.23613816727918	1
Streptomonospora	0	182.17335641135028	1
Streptomyces	0	182.25893526448237	63
Streptosporangium	3	2.576712329441156	3
Tabrizicola	0	182.17335641135028	1
Tahibacter	0	182.17335641135028	1
Tepidimonas	2	12.261203825414029	2
Tessaracoccus	0	182.17335641135028	1
Thermogutta	1	78.23613816727918	4
Thermomonas	0	182.17335641135028	2
Thermomonospora	3	2.782439598693497	1
Thioclava	1	186.7130926380383	4
Tistrella	0	182.17335641135028	1
Trematosphaeria	1	78.23613816727918	8
Tsukamurella	0	182.17335641135028	1
Tsuneonella	0	182.17335641135028	3
Umezawaea	0	182.17335641135028	1
Variovorax	2	12.684021477780998	12
Venturia	1	78.23613816727918	4
Verruconis	1	78.23613816727918	33
Verticillium	1	78.23613816727918	14
Vitis	0	182.17335641135028	1
Vulcanimicrobium	0	182.17335641135028	1
Wenjunlia	0	182.17335641135028	5
Williamsia	0	182.17335641135028	4
Xanthomonas	2	12.261203825414029	6
Xaviernesmea	0	182.17335641135028	4
Xiashengella	1	78.23613816727918	1
bacterium	0	182.17335641135028	4
marine	1	78.23613816727918	19
termite	2	12.261203825414029	3
uncultured	0	182.17335641135028	12
